Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
R04-SCH1,chil,9.821718,3.608403361,-6.213314639,39.68663,65.30420168,25.61757168,12.769209,0,-12.769209
R05-FMG1,chil,9.821718,1.66722973,-8.15448827,39.68663,39.66385135,-0.02277865,12.769209,38.17567568,25.40646668
R05-GOC1,chil,9.821718,3.434121622,-6.387596378,39.68663,46.81925676,7.13262676,12.769209,14.02027027,1.25106127
R05-STP1,chil,9.821718,1.676767677,-8.144950323,39.68663,78.67676768,38.99013768,12.769209,0.841750842,-11.92745816
R06-OTB1,chil,9.821718,10.34064081,0.51892281,39.68663,50.25126476,10.56463476,12.769209,14.83979764,2.070588639
R06-SLT2,chil,9.821718,13.57724958,3.75553158,39.68663,50.39049236,10.70386236,12.769209,14.94057725,2.17136825
R06-YOW1,chil,9.821718,24.49491525,14.67319725,39.68663,30.91694915,-8.76968085,12.769209,11.01694915,-1.752259847
R07-FSP1,chil,9.821718,6.371859296,-3.449858704,39.68663,45.39530988,5.70867988,12.769209,20.60301508,7.833806075
R07-GOF1,chil,9.821718,10.84094755,1.01922955,39.68663,32.63620981,-7.05042019,12.769209,17.9357022,5.1664932
R07-MMP1,chil,9.821718,5.635135135,-4.186582865,39.68663,30.70608108,-8.98054892,12.769209,30.40540541,17.63619641
R07-YHR1,chil,9.821718,14.97466216,5.15294416,39.68663,40.25506757,0.56843757,12.769209,21.79054054,9.021331541
R08-DAP1,chil,9.821718,14,4.178282,39.68663,38.39864865,-1.28798135,12.769209,10.47297297,-2.296236027
R08-PAP1,chil,9.821718,9.563973064,-0.257744936,39.68663,47.10774411,7.42111411,12.769209,9.427609428,-3.341599572
R08-VLG1,chil,9.821718,3.358108108,-6.463609892,39.68663,31.25506757,-8.43156243,12.769209,34.7972973,22.0280883
R08-WBK1,chil,9.821718,23.51510067,13.69338267,39.68663,28.12919463,-11.55743537,12.769209,32.38255034,19.61334134
R09-BLW1,chil,9.821718,19.98981324,10.16809524,39.68663,35.67062818,-4.01600182,12.769209,13.75212224,0.982913241
R09-CTG0,chil,9.821718,28.19392917,18.37221117,39.68663,14.1618887,-25.5247413,12.769209,49.24114671,36.47193771
R09-LIM0,chil,9.821718,20.68527919,10.86356119,39.68663,13.70219966,-25.98443034,12.769209,12.01353638,-0.755672621
R09-SMI1,chil,9.821718,25.39795918,15.57624118,39.68663,28.28911565,-11.39751435,12.769209,22.10884354,9.339634537
R10-FRM1,chil,9.821718,9.181972789,-0.639745211,39.68663,10.9047619,-28.7818681,12.769209,14.28571429,1.516505286
R10-FRM2,chil,9.821718,8.98811545,-0.83360255,39.68663,0.949066214,-38.73756379,12.769209,5.942275042,-6.826933958
R10-WCP0,chil,9.821718,9.248310811,-0.573407189,39.68663,9.596283784,-30.09034622,12.769209,16.0472973,3.278088297
R10-WDW0,chil,9.821718,28.91471572,19.09299772,39.68663,23.45150502,-16.23512498,12.769209,9.866220736,-2.902988264
S02-BNS1,chil,9.821718,4.524288107,-5.297429893,39.68663,59.0720268,19.3853968,12.769209,1.507537688,-11.26167131
S02-BRI1,chil,9.821718,0.656616415,-9.165101585,39.68663,84.77889447,45.09226447,12.769209,0,-12.769209
S02-PIP1,chil,9.821718,2.578595318,-7.243122682,39.68663,73.11705686,33.43042686,12.769209,4.515050167,-8.254158833
S02-PLP1,chil,9.821718,1.856175973,-7.965542027,39.68663,84.40609137,44.71946137,12.769209,0.507614213,-12.26159479
S02-TNW1,chil,9.821718,1.308474576,-8.513243424,39.68663,52.26779661,12.58116661,12.769209,0.508474576,-12.26073442
S03-JKP2,chil,9.821718,7.594227504,-2.227490496,39.68663,24.85398981,-14.83264019,12.769209,16.29881154,3.529602545
S03-LCP1,chil,9.821718,3.174872666,-6.646845334,39.68663,61.3089983,21.6223683,12.769209,0.848896435,-11.92031257
S03-PSP1,chil,9.821718,3.37394247,-6.44777553,39.68663,63.01184433,23.32521433,12.769209,2.707275804,-10.0619332
S03-VIP1,chil,9.821718,3.594276094,-6.227441906,39.68663,60.98653199,21.29990199,12.769209,3.03030303,-9.73890597
S03-WAP1,chil,9.821718,0.76779661,-9.05392139,39.68663,88.3440678,48.6574378,12.769209,0,-12.769209
S04-HAP1,chil,9.821718,1.866101695,-7.955616305,39.68663,65.72542373,26.03879373,12.769209,3.389830508,-9.379378492
S04-OTW1,chil,9.821718,31.73956594,21.91784794,39.68663,30.08013356,-9.60649644,12.769209,8.347245409,-4.421963591
S04-SSP1,chil,9.821718,4.362563238,-5.459154762,39.68663,61.75548061,22.06885061,12.769209,0,-12.769209
S05-LNC1,chil,9.821718,7.634517766,-2.187200234,39.68663,44.55160745,4.86497745,12.769209,5.583756345,-7.185452655
S05-RES1,chil,9.821718,5.749152542,-4.072565458,39.68663,43.49830508,3.81167508,12.769209,10.6779661,-2.091242898
S05-SFP0,chil,9.821718,2.444256757,-7.377461243,39.68663,54.27533784,14.58870784,12.769209,4.222972973,-8.546236027
S06-CBW0,chil,9.821718,34.79661017,24.97489217,39.68663,7.747457627,-31.93917237,12.769209,8.813559322,-3.955649678
S07-ARG1,chil,9.821718,37.2074199,27.3857019,39.68663,17.47048904,-22.21614096,12.769209,7.41989882,-5.34931018
