Site,City,ju18_1,ju18_2,ju18_3,ju18_4,oc18_1,oc18_2,oc18_3,oc18_4,ja19_1,ja19_2,ja19_3,ja19_4,ap19_1,ap19_2,ap19_3,ap19_4,ju19_1,ju19_2,ju19_3,ju19_4,oc19_1,oc19_2,oc19_3,oc19_4,ja20_1,ja20_2,ja20_3,ja20_4,ap20_1,ap20_2,ap20_3,ap20_4,ju20_1,ju20_2,ju20_3,ju20_4
R04-MMW0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R04-MMW3,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R04-SCH1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R05-FMG1,chil,7,7,7,7,0,0,0,0,7,7,7,0,0,1,7,7,7,7,7,7,0,3,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R05-GOC1,chil,7,7,7,7,0,0,0,0,7,7,4,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7
R05-STP1,chil,7,7,7,7,0,0,0,0,7,7,7,1,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06-OTB1,chil,7,7,7,7,0,0,0,0,7,7,2,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R06-SLT2,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R06-YOW1,chil,7,7,7,7,0,0,0,0,7,7,3,0,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,1,0,0,0,0,7,7,7,7
R07-FSP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,4,7,7,4
R07-GOF1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R07-MMP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,6,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R07-YHR1,chil,7,7,7,7,0,0,0,0,7,7,2,0,7,7,7,0,0,3,7,4,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7
R08-DAP1,chil,7,7,7,7,0,0,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R08-PAP1,chil,7,7,7,7,0,0,0,0,0,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7
R08-VLG1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R08-WBK1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R09-BLW1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R09-CTG0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,2,0,7,0,0,0,0,7,7,7,7
R09-LIM0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R09-SMI1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R10-FRM1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R10-FRM2,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,0,0,0,0,7,7,7,7
R10-WCP0,chil,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
R10-WDW0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S02-BNS1,chil,7,5,0,0,0,0,0,0,7,7,6,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,7,7
S02-BRI1,chil,7,7,7,5,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7
S02-PIP1,chil,7,7,7,5,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,0,7,7,7,7,0,0,0,0,7,7,7,7
S02-PLP1,chil,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,3,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
S02-TNW1,chil,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,7,0,5,7,7,7,7,7,0,0,7,7,0,0,0,0,7,7,7,7
S03-JKP2,chil,7,7,7,5,0,0,0,0,7,7,7,3,7,7,7,4,7,7,7,7,1,7,7,0,0,7,7,2,0,0,0,0,7,7,7,7
S03-LCP1,chil,7,7,7,5,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
S03-PSP1,chil,7,7,7,5,0,0,0,0,7,7,7,7,7,7,7,7,7,7,1,0,7,7,0,0,7,7,7,7,0,0,0,0,7,7,7,7
S03-VIP1,chil,7,7,7,5,0,0,0,0,7,7,7,7,0,0,0,0,7,7,1,0,1,7,7,2,7,7,7,7,0,0,0,0,7,7,7,7
S03-WAP1,chil,7,5,0,0,0,0,0,0,7,7,7,7,5,0,5,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S04-HAP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,7,7,7,7
S04-OTW1,chil,7,7,7,7,0,0,0,0,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,0,0,7,7,7,7
S04-SSP1,chil,7,7,7,7,0,0,0,0,7,7,2,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,0,0,0,0,7,7,7,7
S05-LNC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
S05-RES1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S05-SFP0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S06-CBW0,chil,7,7,7,1,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S07-ARG1,chil,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S07-ARG2,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S07-STJ1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S08-WGL1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,1,0,0,3,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
S08-WGL3,chil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
S09-KTP1,chil,7,7,7,7,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S09-SMC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S09-VTW0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
S10-ILC1,chil,7,7,7,1,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,0,7
S10-LEW1,chil,7,7,7,7,0,0,0,0,7,7,7,3,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7
S10-LPC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
S10-LPP0,chil,7,7,7,1,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
E01-CHE1,deco,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01-CON1,deco,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
